,aimDotPos,pokeDist,pokePos,pokeTime,releaseTime,trial
0,"[0.0, 0.0]",30.4138126515,"[-14.0, -27.0]",1.95194396144,0.316741885617,1
1,"[100.0, -100.0]",19.9248588452,"[106.0, -81.0]",1.25116058416,0.383205023943,2
2,"[100.0, 0.0]",12.0415945788,"[101.0, 12.0]",1.00034973014,0.365876559168,3
3,"[-100.0, 0.0]",16.4924225025,"[-96.0, 16.0]",0.934218595154,0.316497314954,4
4,"[-100.0, 100.0]",14.0356688476,"[-86.0, 101.0]",1.01775871695,0.383488353342,5
5,"[0.0, 100.0]",31.304951685,"[-14.0, 128.0]",0.949659599108,0.232433499536,6
6,"[100.0, 0.0]",13.416407865,"[112.0, -6.0]",0.950054397457,0.249360255315,7
7,"[100.0, -100.0]",5.38516480713,"[95.0, -102.0]",1.03452262597,0.300172972144,8
8,"[0.0, 0.0]",11.0453610172,"[1.0, -11.0]",0.950129210833,0.266542398254,9
9,"[100.0, 0.0]",19.6468827044,"[105.0, -19.0]",0.984365502838,0.250249302946,10
10,"[100.0, 0.0]",7.81024967591,"[95.0, 6.0]",0.950659815106,0.216168346349,11
