,"32,0","32,1","32,15","32,3","32,5","44,0","44,1","44,15","44,3","44,5"
0,"(2, 3)","(12, -3)","(22, 5)","(14, -3)","(19, -2)","(4, 3)","(11, 3)","(10, -1)","(12, -3)","(12, -2)"
0,"(11, -1)","(13, 0)","(14, -2)","(14, 4)","(15, 1)","(12, 4)","(15, -1)","(12, -4)","(14, -2)","(6, 8)"
0,"(12, 3)","(11, -1)","(16, -7)","(15, 4)","(19, -8)","(8, 4)","(7, 2)","(10, -1)","(9, 1)","(12, -1)"
0,"(12, -4)","(12, -6)","(19, -5)","(18, -1)","(18, 0)","(8, 6)","(16, 3)","(9, -5)","(16, -6)","(12, -1)"
0,"(2, 6)","(16, -7)","(16, 3)","(14, 1)","(22, 0)","(7, 2)","(7, -2)","(14, -2)","(7, 2)","(14, 2)"
0,"(6, 2)","(16, 3)","(14, 10)","(12, -5)","(19, 0)","(0, 0)","(10, -3)","(13, 9)","(12, -5)","(10, -1)"
0,"(4, 3)","(13, 1)","(25, -1)","(13, 3)","(17, -2)","(4, -4)","(9, 3)","(12, 5)","(9, 3)","(5, -1)"
0,"(9, -5)","(16, 4)","(16, 0)","(17, 2)","(18, 4)","(8, 3)","(12, 0)","(14, 2)","(17, 8)","(10, -2)"
0,"(8, 2)","(15, 1)","(18, 6)","(12, -2)","(17, -3)","(13, 2)","(6, 4)","(9, -2)","(10, 4)","(11, 6)"
0,"(12, -6)","(10, -1)","(16, 3)","(14, 2)","(15, 5)","(6, 2)","(10, 3)","(5, -4)","(4, 0)","(7, -4)"
0,"(7, 6)","(14, 3)","(17, 8)","(13, -2)","(16, 12)","(15, 1)","(13, 2)","(12, -4)","(9, 1)","(8, 7)"
