,AvgX,Condition,LossX,NoLossX,SubNum
0,12.3265306122,"32,0",2,0,403
1,8.84,"44,0",2,1,403
2,10.2954545455,"32,1",20,16,403
3,8.32075471698,"44,1",12,8,403
4,13.2222222222,"32,3",21,11,403
5,6.39583333333,"44,3",14,9,403
6,15.7826086957,"32,5",26,20,403
7,10.8333333333,"44,5",19,15,403
8,12.2745098039,"32,15",24,21,403
9,12.5283018868,"44,15",15,14,403
10,11.4038461538,"32,0",10,10,404
11,8.26,"44,0",9,10,404
12,14.3404255319,"32,1",16,15,404
13,8.46666666667,"44,1",10,8,404
14,11.0408163265,"32,3",15,14,404
15,7.46153846154,"44,3",10,9,404
16,10.4117647059,"32,5",18,15,404
17,7.47169811321,"44,5",11,9,404
18,11.9375,"32,15",17,18,404
19,8.76595744681,"44,15",11,11,404
20,8.72549019608,"32,0",4,1,405
21,4.62,"44,0",3,4,405
22,14.3958333333,"32,1",15,15,405
23,6.42857142857,"44,1",7,7,405
24,13.7169811321,"32,3",15,13,405
25,8.67346938776,"44,3",8,9,405
26,14.0,"32,5",20,18,405
27,10.612244898,"44,5",11,9,405
28,13.2291666667,"32,15",19,20,405
29,10.36,"44,15",12,13,405
30,8.76086956522,"32,0",-5,2,406
31,8.69387755102,"44,0",0,0,406
32,14.7446808511,"32,1",15,15,406
33,10.8,"44,1",8,6,406
34,17.3921568627,"32,3",15,11,406
35,6.65384615385,"44,3",12,9,406
36,16.2391304348,"32,5",30,23,406
37,11.1304347826,"44,5",18,17,406
38,14.7358490566,"32,15",28,20,406
39,11.0784313725,"44,15",14,17,406
40,0.271186440678,"32,0",7,5,407
41,-2.22033898305,"44,0",11,7,407
42,13.2857142857,"32,1",21,16,407
43,7.47368421053,"44,1",9,6,407
44,13.4117647059,"32,3",20,15,407
45,8.44827586207,"44,3",12,9,407
46,13.3090909091,"32,5",23,18,407
47,9.61016949153,"44,5",12,10,407
48,13.7592592593,"32,15",21,19,407
49,9.45614035088,"44,15",7,9,407
50,16.4915254237,"32,0",15,15,410
51,10.6271186441,"44,0",14,15,410
52,13.813559322,"32,1",14,14,410
53,11.2203389831,"44,1",14,14,410
54,16.6271186441,"32,3",14,15,410
55,11.5666666667,"44,3",14,14,410
56,15.2586206897,"32,5",13,16,410
57,8.12280701754,"44,5",14,13,410
58,15.8983050847,"32,15",16,16,410
59,11.8,"44,15",15,15,410
60,14.5660377358,"32,0",18,18,411
61,9.62962962963,"44,0",17,18,411
62,14.7454545455,"32,1",18,17,411
63,8.77192982456,"44,1",19,17,411
64,13.5892857143,"32,3",19,18,411
65,9.36842105263,"44,3",18,18,411
66,14.2592592593,"32,5",19,18,411
67,8.59649122807,"44,5",19,18,411
68,13.6909090909,"32,15",18,19,411
69,9.49122807018,"44,15",18,18,411
